Region,Province,Municipality,District,Barangay
Region I,ILOCOS NORTE,BADOC,Badoc,MORONG
Region I,ILOCOS NORTE,BADOC,Badoc,ALAY-NANGBABAAN (ALAY 15-B)
Region I,ILOCOS NORTE,BADOC,Badoc,PAGSANAHAN SUR
Region I,ILOCOS NORTE,BADOC,Badoc,PARANG
Region I,ILOCOS NORTE,BADOC,Badoc,SANTA CRUZ NORTE
Region I,ILOCOS NORTE,BADOC,Badoc,SAUD
Region I,ILOCOS NORTE,BADOC,Badoc,SANTA CRUZ SUR
Region I,ILOCOS NORTE,BADOC,Badoc,TUROD
Region I,ILOCOS NORTE,BADOC,Badoc,LA VIRGEN MILAGROSA (PAGUETPET)
Region I,ILOCOS NORTE,BADOC,Badoc,ARING
Region I,ILOCOS NORTE,BADOC,Badoc,MABUSAG SUR
Region I,ILOCOS NORTE,BADOC,Badoc,PAGSANAHAN NORTE
Region I,ILOCOS NORTE,BADOC,Badoc,CANAAN (POB.)
Region I,ILOCOS NORTE,BADOC,Badoc,ALOGOOG
Region I,ILOCOS NORTE,BADOC,Badoc,CARAITAN
Region I,ILOCOS NORTE,BANGUI,Bangui,PAYAC
Region I,ILOCOS NORTE,BANGUI,Bangui,BANBAN
Region I,ILOCOS NORTE,BANGUI,Bangui,SAN LORENZO (POB.)
Region I,ILOCOS NORTE,BANGUI,Bangui,BARUYEN
Region I,ILOCOS NORTE,BANGUI,Bangui,DADAOR
Region I,ILOCOS NORTE,BANGUI,Bangui,LANAO
Region I,ILOCOS NORTE,BANGUI,Bangui,MASIKIL
Region I,ILOCOS NORTE,BANGUI,Bangui,TAGUIPORO
Region I,ILOCOS NORTE,DUMALNEG,Bangui,KALAW (DUMALNEG)
Region I,ILOCOS NORTE,DUMALNEG,Bangui,SAN ISIDRO
Region I,ILOCOS NORTE,DUMALNEG,Bangui,QUIBEL (DUMALNEG)
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),BANGSAR
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),MARCOS (POB.)
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),BARBARANGAY
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),BOMITOG
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),BUGASI
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),CAESTEBANAN
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),CARIBQUIB
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),CATAGTAGUEN
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),CRISPINA
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),IMELDA
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),BALIOEG
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),MACAYEPYEP
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),NAGPATAYAN
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),BINACAG
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),SINAMAR
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),TABTABAGAN
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),VALDEZ
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),LORENZO (POB.)
Region I,ILOCOS NORTE,BANNA (ESPIRITU),Banna (Espiritu),VALENCIANO (POB.)
Region I,ILOCOS NORTE,BURGOS,Burgos,ABLAN SARAT
Region I,ILOCOS NORTE,BURGOS,Burgos,AGAGA
Region I,ILOCOS NORTE,BURGOS,Burgos,BAYOG
Region I,ILOCOS NORTE,BURGOS,Burgos,BUDUAN (MALITUEK)
Region I,ILOCOS NORTE,BURGOS,Burgos,BOBON
Region I,ILOCOS NORTE,BURGOS,Burgos,POBLACION
Region I,ILOCOS NORTE,BURGOS,Burgos,NAGSUROT
Region I,ILOCOS NORTE,BURGOS,Burgos,PAAYAS
Region I,ILOCOS NORTE,BURGOS,Burgos,PAGALI
Region I,ILOCOS NORTE,BURGOS,Burgos,TANAP
Region I,ILOCOS NORTE,CURRIMAO,Currimao,BIMMANGA
Region I,ILOCOS NORTE,CURRIMAO,Currimao,COMCOMLOONG
Region I,ILOCOS NORTE,CURRIMAO,Currimao,POBLACION II
Region I,ILOCOS NORTE,CURRIMAO,Currimao,LANG-AYAN-BARAMBAN
Region I,ILOCOS NORTE,CURRIMAO,Currimao,MAGLAOI CENTRO
Region I,ILOCOS NORTE,CURRIMAO,Currimao,PAGULUDAN-SALINDEG
Region I,ILOCOS NORTE,CURRIMAO,Currimao,PANGIL
Region I,ILOCOS NORTE,CURRIMAO,Currimao,PIAS NORTE
Region I,ILOCOS NORTE,CURRIMAO,Currimao,VICTORIA
Region I,ILOCOS NORTE,DINGRAS,Dingras I,BARESBES
Region I,ILOCOS NORTE,DINGRAS,Dingras I,BARONG
Region I,ILOCOS NORTE,DINGRAS,Dingras I,GUERRERO (POB.)
Region I,ILOCOS NORTE,DINGRAS,Dingras I,LANAS
Region I,ILOCOS NORTE,DINGRAS,Dingras I,SAN FRANCISCO (SURRATE)
Region I,ILOCOS NORTE,DINGRAS,Dingras I,PARADO (BANGAY)
Region I,ILOCOS NORTE,DINGRAS,Dingras I,CALI
Region I,ILOCOS NORTE,DINGRAS,Dingras I,SAN MARCELINO (PADONG)
Region I,ILOCOS NORTE,DINGRAS,Dingras I,SULQUIANO (SIDIRAN)
Region I,ILOCOS NORTE,DINGRAS,Dingras I,VER (NAGLAYAAN)
Region I,ILOCOS NORTE,DINGRAS,Dingras I,ELIZABETH
Region I,ILOCOS NORTE,DINGRAS,Dingras I,SAN ESTEBAN
Region I,ILOCOS NORTE,DINGRAS,Dingras I,SUYO
Region I,ILOCOS NORTE,DINGRAS,Dingras I,MADAMBA (POB.)
Region I,ILOCOS NORTE,DINGRAS,Dingras II,BACSIL
Region I,ILOCOS NORTE,DINGRAS,Dingras II,CAPASAN
Region I,ILOCOS NORTE,DINGRAS,Dingras II,MADAMBA (POB.)
Region I,ILOCOS NORTE,DINGRAS,Dingras II,ESPIRITU
Region I,ILOCOS NORTE,DINGRAS,Dingras II,FOZ
Region I,ILOCOS NORTE,DINGRAS,Dingras II,MANDALOQUE
Region I,ILOCOS NORTE,DINGRAS,Dingras II,PERALTA (POB.)
Region I,ILOCOS NORTE,DINGRAS,Dingras II,SAN ESTEBAN
Region I,ILOCOS NORTE,DINGRAS,Dingras II,SAGPATAN
Region I,ILOCOS NORTE,DINGRAS,Dingras II,SAN MARCOS
Region I,ILOCOS NORTE,DINGRAS,Dingras II,SUYO
Region I,ILOCOS NORTE,DINGRAS,Dingras II,BAGUT
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,CARAY
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,BARANGOBONG
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,CABITTAURAN
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,NAGUILLAN (PAGPAG-ONG)
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,POBLACION
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,SANTO NINO
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,BARIKIR
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,BUGAYONG
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,UGUIS
Region I,ILOCOS NORTE,NUEVA ERA,Marcos-Nueva Era,GARNADEN
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,VALDEZ (BIDING)
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,CACAFEAN
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,ELIZABETH (CULAO)
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,ESCODA
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,DAQUIOAG
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,FERDINAND
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,FORTUNA
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,IMELDA (CAPARIAAN)
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,MABUTI
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,LYDIA (POB.)
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,PACIFICO (AGUNIT)
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,SANTIAGO
Region I,ILOCOS NORTE,MARCOS,Marcos-Nueva Era,TABUCBUC (RAGAS)
Region I,ILOCOS NORTE,ADAMS,Adams-Pagudpud,ADAMS (POB.)
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,AGGASI
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,BURAYOC
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,CAPARISPISAN
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,CAUNAYAN
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,DAMPIG
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,BALAOI
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,BADUANG
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,POBLACION  2
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,POBLACION  1
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,PANCIAN
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,PASALENG
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,SAGUIGUI
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,SAUD
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,SUBEC
Region I,ILOCOS NORTE,PAGUDPUD,Adams-Pagudpud,TARRAG
Region I,ILOCOS NORTE,PAOAY,Paoay,BACSIL
Region I,ILOCOS NORTE,PAOAY,Paoay,PARATONG
Region I,ILOCOS NORTE,PAOAY,Paoay,MONTE
Region I,ILOCOS NORTE,PAOAY,Paoay,MUMULAAN
Region I,ILOCOS NORTE,PAOAY,Paoay,NAGBACALAN
Region I,ILOCOS NORTE,PAOAY,Paoay,NALASIN
Region I,ILOCOS NORTE,PAOAY,Paoay,NANGUYUDAN
Region I,ILOCOS NORTE,PAOAY,Paoay,VERONICA
Region I,ILOCOS NORTE,PAOAY,Paoay,DOLORES
Region I,ILOCOS NORTE,PAOAY,Paoay,PASIL
Region I,ILOCOS NORTE,PAOAY,Paoay,SALBANG (POB.)
Region I,ILOCOS NORTE,PAOAY,Paoay,SIDEG
Region I,ILOCOS NORTE,PAOAY,Paoay,SUBA
Region I,ILOCOS NORTE,PAOAY,Paoay,CABANGARAN
Region I,ILOCOS NORTE,PAOAY,Paoay,MASINTOC
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,BINSANG
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,SUSUGAEN
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,CARUAN
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,CARUSIKIS
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,NGABANGAB
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,DAVILA
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,DILANIS
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,DILAVO
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,POBLACION 3
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,SANTA MATILDE
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,NAGLICUAN
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,NAGSANGA
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,PANGIL
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,POBLACION 1
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,PUYUPUYAN
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,SAN JUAN
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,SANTA CATALINA
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,SULBEC
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,SURONG
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,TABUNGAO
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,TADAO
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,BATULI
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,POBLACION 2
Region I,ILOCOS NORTE,PASUQUIN,Pasuquin,POBLACION 4
Region I,ILOCOS NORTE,PIDDIG,Piddig,SUCSUQUEN
Region I,ILOCOS NORTE,PIDDIG,Piddig,ABUCAY
Region I,ILOCOS NORTE,PIDDIG,Piddig,BOYBOY
Region I,ILOCOS NORTE,PIDDIG,Piddig,CALAMBEG
Region I,ILOCOS NORTE,PIDDIG,Piddig,DUPITAC
Region I,ILOCOS NORTE,PIDDIG,Piddig,ESTANCIA
Region I,ILOCOS NORTE,PIDDIG,Piddig,GAYAMAT
Region I,ILOCOS NORTE,PIDDIG,Piddig,LAGANDIT
Region I,ILOCOS NORTE,PIDDIG,Piddig,LIBNAOAN
Region I,ILOCOS NORTE,PIDDIG,Piddig,MARUAYA
Region I,ILOCOS NORTE,PIDDIG,Piddig,CABAROAN (POB.)
Region I,ILOCOS NORTE,PIDDIG,Piddig,SAN ANTONIO
Region I,ILOCOS NORTE,PIDDIG,Piddig,SANTA MARIA
Region I,ILOCOS NORTE,PIDDIG,Piddig,TANGAOAN
Region I,ILOCOS NORTE,PIDDIG,Piddig,MANGITAYAG
Region I,ILOCOS NORTE,PIDDIG,Piddig,MAAB-ABACA
Region I,ILOCOS NORTE,PIDDIG,Piddig,TONOTON
Region I,ILOCOS NORTE,PIDDIG,Piddig,LOING (POB.)
Region I,ILOCOS NORTE,CARASI,Piddig,BARBAQUESO (POB.)
Region I,ILOCOS NORTE,CARASI,Piddig,VIRBIRA
Region I,ILOCOS NORTE,PINILI,Pinili,BADIO
Region I,ILOCOS NORTE,PINILI,Pinili,BARBAR
Region I,ILOCOS NORTE,PINILI,Pinili,LUMBAAN-BICBICA
Region I,ILOCOS NORTE,PINILI,Pinili,BUANGA
Region I,ILOCOS NORTE,PINILI,Pinili,BULBULALA
Region I,ILOCOS NORTE,PINILI,Pinili,CABAROAN
Region I,ILOCOS NORTE,PINILI,Pinili,DARAT
Region I,ILOCOS NORTE,PINILI,Pinili,PAGDILAO (POB.)
Region I,ILOCOS NORTE,PINILI,Pinili,GULPENG
Region I,ILOCOS NORTE,PINILI,Pinili,LILIPUTEN
Region I,ILOCOS NORTE,PINILI,Pinili,NAGTRIGOAN
Region I,ILOCOS NORTE,PINILI,Pinili,BUNGRO
Region I,ILOCOS NORTE,PINILI,Pinili,PURITAC
Region I,ILOCOS NORTE,PINILI,Pinili,PUZOL
Region I,ILOCOS NORTE,PINILI,Pinili,SALANAP
Region I,ILOCOS NORTE,PINILI,Pinili,SANTO TOMAS
Region I,ILOCOS NORTE,PINILI,Pinili,UPON
Region I,ILOCOS NORTE,PINILI,Pinili,SACRITAN
Region I,ILOCOS NORTE,PINILI,Pinili,VALBUENA (POB.)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SANTA ASUNCION (SAMAC)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SANTA CECILIA (BARABAR)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN PEDRO (BINGAO)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN AGUSTIN
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN GREGORIO (POB.)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN JUAN BAUTISTA (POB.)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SANTA MONICA (NAGREBCAN)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN MARCOS (PAYAS)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN ILDEFONSO (POB.)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN MIGUEL (POB.)
Region I,ILOCOS NORTE,SAN NICOLAS,San Nicolas,SAN BALTAZAR (POB.)
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN ROQUE
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN MARCOS
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN JOSE
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN MANUEL
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN FELIPE
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN CRISTOBAL
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN ANTONIO
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN BERNABE
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN LEANDRO (POB.)
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN FRANCISCO (POB.)
Region I,ILOCOS NORTE,SARRAT,Sarrat,SANTA ROSA
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN PEDRO
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN ANDRES
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN NICOLAS
Region I,ILOCOS NORTE,SARRAT,Sarrat,SAN JUAN
Region I,ILOCOS NORTE,SOLSONA,Solsona,CAPURICTAN
Region I,ILOCOS NORTE,SOLSONA,Solsona,BAGBAGO
Region I,ILOCOS NORTE,SOLSONA,Solsona,BARCELONA
Region I,ILOCOS NORTE,SOLSONA,Solsona,CATANGRARAN
Region I,ILOCOS NORTE,SOLSONA,Solsona,DARASDAS
Region I,ILOCOS NORTE,SOLSONA,Solsona,LIPAY
Region I,ILOCOS NORTE,SOLSONA,Solsona,MAANANTENG
Region I,ILOCOS NORTE,SOLSONA,Solsona,MARIQUET
Region I,ILOCOS NORTE,SOLSONA,Solsona,NAGPATPATAN
Region I,ILOCOS NORTE,SOLSONA,Solsona,SAN JUAN
Region I,ILOCOS NORTE,SOLSONA,Solsona,SANTIAGO
Region I,ILOCOS NORTE,SOLSONA,Solsona,LAURETA (POB.)
Region I,ILOCOS NORTE,SOLSONA,Solsona,SANTA ANA
Region I,ILOCOS NORTE,SOLSONA,Solsona,TALUGTOG
Region I,ILOCOS NORTE,SOLSONA,Solsona,MANALPAC
Region I,ILOCOS NORTE,SOLSONA,Solsona,BAGBAG
Region I,ILOCOS NORTE,SOLSONA,Solsona,JUAN (POB.)
Region I,ILOCOS NORTE,VINTAR,Vintar I,ALSEM
Region I,ILOCOS NORTE,VINTAR,Vintar I,BAGO
Region I,ILOCOS NORTE,VINTAR,Vintar I,CABANGARAN
Region I,ILOCOS NORTE,VINTAR,Vintar I,CANAAM
Region I,ILOCOS NORTE,VINTAR,Vintar I,DAGUPAN
Region I,ILOCOS NORTE,VINTAR,Vintar I,TAMDAGAN
Region I,ILOCOS NORTE,VINTAR,Vintar I,DIPILAT
Region I,ILOCOS NORTE,VINTAR,Vintar I,ESPERANZA
Region I,ILOCOS NORTE,VINTAR,Vintar I,ESTER
Region I,ILOCOS NORTE,VINTAR,Vintar I,MARGAAY
Region I,ILOCOS NORTE,VINTAR,Vintar I,NAMOROC
Region I,ILOCOS NORTE,VINTAR,Vintar I,SAN NICOLAS (POB.)
Region I,ILOCOS NORTE,VINTAR,Vintar I,VISAYA
Region I,ILOCOS NORTE,VINTAR,Vintar I,MABANBANAG
Region I,ILOCOS NORTE,VINTAR,Vintar I,ISIC ISIC
Region I,ILOCOS NORTE,VINTAR,Vintar I,SAN RAMON (POB.)
Region I,ILOCOS NORTE,VINTAR,Vintar I,BULBULALA
Region I,ILOCOS NORTE,VINTAR,Vintar II,ABKIR
Region I,ILOCOS NORTE,VINTAR,Vintar II,ALEJO MALASIG
Region I,ILOCOS NORTE,VINTAR,Vintar II,CABAYO
Region I,ILOCOS NORTE,VINTAR,Vintar II,CABISOCOLAN
Region I,ILOCOS NORTE,VINTAR,Vintar II,ISIC ISIC
Region I,ILOCOS NORTE,VINTAR,Vintar II,SAN JOSE (LIPAY)
Region I,ILOCOS NORTE,VINTAR,Vintar II,LUBNAC
Region I,ILOCOS NORTE,VINTAR,Vintar II,SALSALAMAGUI
Region I,ILOCOS NORTE,VINTAR,Vintar II,MALAMPA (PENINAAN-MALAMPA)
Region I,ILOCOS NORTE,VINTAR,Vintar II,MANARANG
Region I,ILOCOS NORTE,VINTAR,Vintar II,PARPAROROC
Region I,ILOCOS NORTE,VINTAR,Vintar II,PARUT
Region I,ILOCOS NORTE,VINTAR,Vintar II,COLUMBIA
Region I,ILOCOS NORTE,VINTAR,Vintar II,PEDRO F. ALVIAR (DIATON)
Region I,ILOCOS NORTE,VINTAR,Vintar II,SANTA MARIA (POB.)
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 39, SANTA ROSA"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 41, BALACAD"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BRY. NO. 48-A, CABUNGAAN NORTH"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 37, CALAYAB"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 43, CAVIT"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 49-A, DARAYDAY"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 34-A, GABU NORTE WEST"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 14, SANTO TOMAS (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 45, TANGID"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 34-B, GABU NORTE EAST"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 23, SAN MATIAS (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 13, NSTRA. SRA. DE VISITACION ("
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 15, SAN GUILLERMO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 19, SANTA MARCELA (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 12, SAN ISIDRO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 26, SAN MARCELINO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 5, SAN PEDRO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 7-A, NSTRA. SRA. DE NATIVIDAD ("
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 47, BENGCAG"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 2, SANTA JOAQUINA (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 44, ZAMBOANGA"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 28, SAN BERNARDO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 38-A, MANGATO EAST"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 10, SAN JOSE (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 17, SAN FRANCISCO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 8, SAN VICENTE (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 20, SAN MIGUEL (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 9, SANTA ANGELA (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BRY. NO. 18, SAN QUIRINO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 50, BUTTONG"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 49-B, RARABURAN"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District I,"BGY. NO. 40, BALATONG"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District II,"BGY. NO. 4, SAN GUILLERMO (POB.)"
Region I,ILOCOS NORTE,LAOAG CITY (Capital),Laoag City District II,"BGY. NO. 60-B, MADILADIG"
