Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,G7 Male,G8 Male,G9 Male,G10 Male,G7 Female,G8 Female,G9 Female,G10 Female,JHS NG Male,JHS NG Female,Total Non-Graded Enrollment,Total Male Enrollment,Total Female Enrollment,Total Enrollment
Region II,Cagayan,Calayan East,300442,Calayan HS - Camiguin Annex,none,CAGAYAN,CALAYAN,2nd District,BALATUBAT,Public,DepED Managed,Annex or Extension school(s),Purely JHS,31,23,25,26,24,15,26,18,0,0,0,105,83,188
Region II,Isabela,Angadanan East,300550,La Suerte High School,"Purok 3, La Suerte, Angadanan, Isabela",ISABELA,ANGADANAN,3rd District,LA SUERTE,Public,DepED Managed,School with no Annexes,Purely JHS,18,28,21,16,20,24,25,21,0,0,0,83,90,173
Region II,Isabela,Aurora,300530,Doña Aurora National High School,"Cacal Street, Sta Rita, Aurora, Isabela",ISABELA,AURORA,2nd District,SANTA RITA,Public,DepED Managed,Mother school,Purely JHS,293,286,300,271,239,254,296,296,0,0,0,1150,1085,2235
Region II,Isabela,Burgos,400412,St. Peter's Academy,"SAN ANTONINO, BURGOS, ISABELA",ISABELA,BURGOS,2nd District,CULLALABO SAN ANTONIO,Private,Sectarian ,School with no Annexes,Purely JHS,4,9,7,5,1,6,5,9,0,0,0,25,21,46
Region II,Isabela,Cabagan,306167,Alfreda Albano NHS-Masipi Annex,"Purok 3, Masipi East, Cabagan, Isabela",ISABELA,CABANGAN,1st District,MASIPI EAST,Public,DepED Managed,Annex or Extension school(s),Purely JHS,28,28,29,27,29,26,30,15,0,0,0,112,100,212
Region II,Isabela,Delfin Albano,306133,Aneg National High School,"Purok 7, Brgy. Aneg,  Delfin Albano,  Isabela",ISABELA,DELFIN ALBANO (MAGSAYSAY),1st District,ANEG,Public,DepED Managed,School with no Annexes,Purely JHS,25,12,17,15,11,20,16,12,0,0,0,69,59,128
Region II,Isabela,Echague East,306120,Imelda R. Marcos HS - Mabbayad Annex,"Purok 3, Mabbayad, Echague, Isabela",ISABELA,ECHAGUE,4th District,MABBAYAD,Public,DepED Managed,Annex or Extension school(s),Purely JHS,8,18,13,13,13,15,13,15,0,0,0,52,56,108
Region II,Isabela,Gamu,306113,Gamu Rural School Annex - Junction Upi Annex,"Junction, Upi, Gamu, Isabela",ISABELA,GAMU,2nd District,UPI,Public,DepED Managed,Annex or Extension school(s),Purely JHS,48,74,67,59,41,40,55,65,0,0,0,248,201,449
Region II,Isabela,Jones East,306122,Dicamay National High School,"Purok 5, Dicamay 1, Jones, Isabela",ISABELA,JONES,4th District,DICAMAY I,Public,DepED Managed,School with no Annexes,Purely JHS,18,32,28,27,21,21,27,23,0,0,0,105,92,197
Region II,Isabela,Jones East,306134,Sgt. Prospero G. Bello High School - Dumawing Annex,"Purok 6, Dumawing, Jones, Isabela",ISABELA,JONES,4th District,DUMAWING,Public,DepED Managed,Annex or Extension school(s),Purely JHS,7,7,11,7,18,8,12,15,0,0,0,32,53,85
Region II,Isabela,Jones West,306119,Addalam Region HS - Divinan Annex,"Ramos St. Purok 5, Divinan, Jones, Isabela",ISABELA,JONES,4th District,DIVINAN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,13,15,13,12,5,5,9,12,0,0,0,53,31,84
Region II,Isabela,Palanan,306164,Palanan School of Agriculture and Trades,Camiguing St.,ISABELA,PALANAN,1st District,DICABISAGAN WEST (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,70,45,53,47,69,61,41,49,0,0,0,215,220,435
Region II,Isabela,Quezon,306058,Minagbag High School,"Purok 5, Minagbag, Quezon, Isabela",ISABELA,QUEZON,2nd District,MINAGBAG,Public,DepED Managed,School with no Annexes,Purely JHS,30,47,32,40,25,40,29,45,0,0,0,149,139,288
Region II,Isabela,San Manuel,306160,Nueva Era National High School,"Purok 4, Nueva Era, San Manuel, Isabela",ISABELA,SAN MANUEL,2nd District,NUEVA ERA,Public,DepED Managed,School with no Annexes,Purely JHS,15,17,18,16,11,11,22,16,0,0,0,66,60,126
Region II,Isabela,San Mariano I,306148,San Mariano National High School - Cataguing Extension,"Purok 3, Cataguing, San Mariano, Isabela",ISABELA,SAN MARIANO,2nd District,CATAGUING,Public,DepED Managed,Annex or Extension school(s),Purely JHS,11,21,11,9,8,19,15,14,0,0,0,52,56,108
Region II,Isabela,San Pablo,330501,Dalena High School,"Dalena, San Pablo, Isabela",ISABELA,SAN PABLO,1st District,DALENA,Public,DepED Managed,School with no Annexes,Purely JHS,28,24,29,13,28,21,36,30,0,0,0,94,115,209
Region II,Nueva Vizcaya,Sta. Fe,400520,Kalahan Academy,"Imugan, Sta. Fe, Nueva Vizcaya",NUEVA VIZCAYA,SANTA FE,Lone District,IMUGAN,Private,Sectarian ,School with no Annexes,Purely JHS,18,14,10,20,15,17,14,22,0,0,0,62,68,130
Region II,Nueva Vizcaya,Dupax del Norte II,416002,Binuangan Christian Academy,Pudi St.,NUEVA VIZCAYA,DUPAX DEL NORTE,Lone District,BINNUANGAN,Private,Non-Sectarian ,School with no Annexes,Purely JHS,3,4,8,4,2,3,5,5,0,0,0,19,15,34
Region II,Tuguegarao City,Tuguegarao West Educational Zone,300668,Cagayan National High School - Junior HS,Bagay Road,CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,SAN GABRIEL,Public,DepED Managed,School with no Annexes,Purely JHS,483,560,710,741,485,569,735,839,0,0,0,2494,2628,5122
Region II,Cauayan City,Cauayan North District,300516,Cauayan City NHS,"P. Albano St., Turayong",ISABELA,CITY OF CAUAYAN,3rd District,TURAYONG,Public,DepED Managed,Mother school,Purely JHS,458,554,537,573,457,570,608,565,0,0,0,2122,2200,4322
Region II,City of Ilagan,South,305727,Abuan National High School,Cabeceria 27,ISABELA,ILAGAN CITY (CAPITAL),1st District,CABESERIA 27 (ABUAN),Public,DepED Managed,School with no Annexes,Purely JHS,10,7,15,29,9,16,17,10,0,0,0,61,52,113
Region II,City of Ilagan,West,300545,Alibagu National High School,PUROK I,ISABELA,ILAGAN CITY (CAPITAL),1st District,SAN VICENTE (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,11,18,24,29,15,16,24,29,0,0,0,82,84,166
Region III,San Jose City,San Jose City East,306257,Kaliwanagan National High School,"Zone 3, Brgy. Kaliwanagan, San Jose City, Nueva Ecija 3121",NUEVA ECIJA,SAN JOSE CITY,2nd District,KALIWANAGAN,Public,DepED Managed,School with no Annexes,Purely JHS,23,28,37,30,23,32,29,25,0,0,0,118,109,227
Region III,San Jose City,San Jose City West,306258,Salvador and Ofelia Dysico Tabulac High School,"Zone 5, Brgy. Tabulac, San Jose City, Nueva Ecija 3121",NUEVA ECIJA,SAN JOSE CITY,2nd District,TABULAC,Public,DepED Managed,School with no Annexes,Purely JHS,15,14,25,13,9,18,23,14,0,0,0,67,64,131
Region III,Aurora,Baler,300677,Baler NHS,"Brgy. Pingit, Baler, Aurora",AURORA,BALER  (Capital),Lone District,PINGIT,Public,DepED Managed,School with no Annexes,Purely JHS,188,183,201,190,165,186,201,213,11,2,13,773,767,1540
Region III,Aurora,Baler,300678,Calabuanan NHS,"Purok 2, Brgy. Calabuanan, Baler, Aurora",AURORA,BALER  (Capital),Lone District,CALABUANAN,Public,DepED Managed,School with no Annexes,Purely JHS,33,24,46,33,34,33,43,44,0,0,0,136,154,290
Region III,Aurora,Casiguran,306502,Dibacong NHS,"Brgy. Dibacong, Casiguran, Aurora",AURORA,CASIGURAN,Lone District,DIBACONG,Public,DepED Managed,School with no Annexes,Purely JHS,25,21,16,25,20,19,17,19,0,0,0,87,75,162
Region III,Aurora,Dilasag,300515,Dimaseset NHS,"Purpk 6 Brgy. Dimaseset, Dilasag, Aurora",AURORA,DILASAG,Lone District,DIMASESET,Public,DepED Managed,School with no Annexes,Purely JHS,11,16,14,19,12,14,21,20,0,0,0,60,67,127
Region III,Aurora,Dipaculao,300675,Borlongan NHS,"Brgy. Borlongan, Dipaculao, Aurora",AURORA,DIPACULAO,Lone District,BORLONGAN,Public,DepED Managed,School with no Annexes,Purely JHS,43,29,42,31,42,25,40,48,0,0,0,145,155,300
Region III,Aurora,Dipaculao,300676,Puangi NHS,"Brgy. Puangi, Dipaculao, Aurora",AURORA,DIPACULAO,Lone District,PUANGI,Public,DepED Managed,School with no Annexes,Purely JHS,18,32,21,30,22,30,37,31,0,0,0,101,120,221
Region III,Aurora,Dipaculao,305397,Mijares NHS,"Brgy. Mijares, Dipaculao, Aurora",AURORA,DIPACULAO,Lone District,MIJARES,Public,DepED Managed,School with no Annexes,Purely JHS,40,35,39,50,27,43,46,40,0,0,0,164,156,320
Region III,Aurora,Ma. Aurora,300674,Bayanihan NHS,"Brgy. Bayanihan, Ma. Aurora, Aurora",AURORA,MARIA AURORA,Lone District,BAYANIHAN,Public,DepED Managed,School with no Annexes,Purely JHS,23,25,16,29,23,20,33,32,0,0,0,93,108,201
Region III,Aurora,Ma. Aurora,300696,Wenceslao NHS,"Purok 3, Brgy. Wenceslao, Ma. Aurora, Aurora",AURORA,MARIA AURORA,Lone District,WENCESLAO,Public,DepED Managed,School with no Annexes,Purely JHS,33,22,20,21,15,24,17,20,0,0,0,96,76,172
Region III,Aurora,Ma. Aurora,306503,Ramada NHS,"Purok 2, Brgy. Ramada, Ma. Aurora, Aurora",AURORA,MARIA AURORA,Lone District,RAMADA,Public,DepED Managed,School with no Annexes,Purely JHS,14,33,22,16,22,19,24,27,0,0,0,85,92,177
Region III,Aurora,Ma. Aurora,306506,Dianawan NHS,Brgy. Dianawan,AURORA,MARIA AURORA,Lone District,DIANAWAN,Public,DepED Managed,School with no Annexes,Purely JHS,24,10,16,12,14,12,14,11,0,0,0,62,51,113
Region III,Aurora,San Luis,300694,Mayor Cesario A. Pimentel NHS,"Brgy. 01, San Luis, Aurora",AURORA,SAN LUIS,Lone District,BARANGAY I (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,61,114,104,105,69,88,88,83,0,0,0,384,328,712
Region III,Aurora,San Luis,306254,Teresita Ong Palmero National High School,"Brgy. Nonong, San Luis, Aurora",AURORA,SAN LUIS,Lone District,NONONG SENIOR,Public,DepED Managed,School with no Annexes,Purely JHS,6,0,0,0,6,0,0,0,0,0,0,6,6,12
Region III,Bataan,Bagac,305899,Bataan High School for the Arts,"Bagac, Bataan",BATAAN,BAGAC,2nd District,PAG-ASA (WAWA-SIBACAN),Public,DepED Managed,School with no Annexes,Purely JHS,8,3,3,0,15,20,10,0,0,0,0,14,45,59
Region III,Bataan,Mariveles,300710,Mariveles NHS Cabcaben,Aquino Road,BATAAN,MARIVELES,2nd District,CABCABEN,Public,DepED Managed,Mother school,Purely JHS,212,247,306,307,236,266,297,348,0,0,0,1072,1147,2219
Region III,Bataan,Mariveles,300711,"Mariveles NHS,Poblacion",San Carlos,BATAAN,MARIVELES,2nd District,SAN CARLOS,Public,DepED Managed,Mother school,Purely JHS,359,396,417,451,357,393,420,428,0,0,0,1623,1598,3221
Region III,Bataan,Mariveles,305629,Baseco National High School,"Romualdez St. Baseco, Mariveles, Bataan",BATAAN,MARIVELES,2nd District,BASECO COUNTRY (NASSCO),Public,DepED Managed,School with no Annexes,Purely JHS,25,33,36,20,23,29,31,22,0,0,0,114,105,219
Region III,Bataan,Mariveles,305814,Ipag National High School,"Purok 6, Lower Ipag, Mariveles, Bataan",BATAAN,MARIVELES,2nd District,IPAG,Public,DepED Managed,School with no Annexes,Purely JHS,61,84,94,58,64,72,69,68,0,0,0,297,273,570
Region III,Bataan,Mariveles,306615,Mariveles NHS Pob. Annex-Sisiman,"Rose St., Brgy. Sisiman",BATAAN,MARIVELES,2nd District,SISIMAN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,49,72,82,76,42,48,57,66,0,0,0,279,213,492
Region III,Bataan,Mariveles,306617,Mariveles NHS Cab. Annex-Alasasin,Alasasin,BATAAN,MARIVELES,2nd District,ALAS-ASIN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,96,108,115,139,113,112,126,105,0,0,0,458,456,914
Region III,Bataan,Orion,306085,Udyong National High School,"Sibul II, Daan Pare, Orion, Bataan",BATAAN,ORION,2nd District,DAANG PARE,Public,DepED Managed,School with no Annexes,Purely JHS,39,37,16,24,40,36,30,28,0,0,0,116,134,250
Region III,Bataan,Samal,306605,Samal NHS - Annex,Adamson,BATAAN,SAMAL,1st District,GUGO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,66,53,72,74,62,68,62,66,0,0,0,265,258,523
Region III,Bulacan,Balagtas,305693,GAT Francisco Balagtas High School,"Galas Patubig Road, Santol, Balagtas, Bulacan",BULACAN,BALAGTAS (BIGAA),2nd District,SANTOL,Public,DepED Managed,School with no Annexes,Purely JHS,73,87,114,118,75,81,98,112,0,0,0,392,366,758
Region III,Bulacan,Baliuag North,306717,Teodoro Evangelista Mem. HS,A. Mabini Street,BULACAN,BALIUAG,2nd District,TIBAG,Public,DepED Managed,School with no Annexes,Purely JHS,90,76,71,94,70,76,90,83,0,0,0,331,319,650
Region III,Bulacan,Baliuag South,305993,Sta. Barbara High School,"Sta. Barbara, Baliwag, Bulacan",BULACAN,BALIUAG,2nd District,SANTA BARBARA,Public,DepED Managed,School with no Annexes,Purely JHS,20,15,16,0,24,16,17,0,0,0,0,51,57,108
Region III,Bulacan,Baliuag South,306705,Virgen Delas Flores HS,Alido Subd.,BULACAN,BALIUAG,2nd District,VIRGEN DELAS FLORES,Public,DepED Managed,School with no Annexes,Purely JHS,213,185,261,262,191,209,226,232,0,0,0,921,858,1779
Region III,Bulacan,Bocaue,306729,Batia High School,Northville V,BULACAN,BOCAUE,2nd District,BATIA,Public,DepED Managed,School with no Annexes,Purely JHS,110,125,159,107,64,98,134,120,0,0,0,501,416,917
Region III,Bulacan,Bocaue,400707,Nehemiah Standard Academy,Pio Salvador,BULACAN,BOCAUE,2nd District,BATIA,Private,Non-Sectarian ,School with no Annexes,Purely JHS,3,6,4,0,5,5,4,0,0,0,0,13,14,27
Region III,Bulacan,Guiguinto,306722,Guiguinto National Vocational High School - ANNEX,"Northville Malis, Guiguinto, Bulacan",BULACAN,GUIGUINTO,2nd District,MALIS,Public,DepED Managed,School with no Annexes,Purely JHS,89,80,100,72,105,114,98,115,0,0,0,341,432,773
Region III,Bulacan,Norzagaray,300759,National Power Corporation H.S.,Jasmine St.,BULACAN,NORZAGARAY,3rd District,SAN LORENZO,Public,DepED Managed,School with no Annexes,Purely JHS,34,22,24,18,27,21,30,25,0,0,0,98,103,201
Region III,Bulacan,Norzagaray,300762,FVR National High School,"Brgy. FVR, Norzagaray, Bulacan",BULACAN,NORZAGARAY,3rd District,TIGBE,Public,DepED Managed,School with no Annexes,Purely JHS,132,116,141,158,114,104,130,139,0,0,0,547,487,1034
Region III,Bulacan,Obando,300763,Obando NHS,De Ocampo Subd.,BULACAN,OBANDO,4th District,PALIWAS,Public,DepED Managed,School with no Annexes,Purely JHS,205,253,218,206,198,234,239,231,0,0,0,882,902,1784
Region III,Bulacan,Pandi,306083,Mapulang Lupa High School,"Mapulang Lupa, Pandi, Bulacan",BULACAN,PANDI,2nd District,MAPULANG LUPA,Public,DepED Managed,School with no Annexes,Purely JHS,63,58,0,0,61,53,0,0,0,0,0,121,114,235
Region III,Bulacan,Paombong,306710,Pinalagdan High School,Sitio Central,BULACAN,PAOMBONG,1st District,PINALAGDAN,Public,DepED Managed,School with no Annexes,Purely JHS,19,23,28,26,21,14,28,24,0,0,0,96,87,183
Region III,Bulacan,San Ildefonso South,305865,Gabihan High School,"Gabihan, San Ildefonso, Bulacan",BULACAN,SAN ILDEFONSO,3rd District,GABIHAN,Public,DepED Managed,School with no Annexes,Purely JHS,67,0,61,61,61,16,46,44,0,0,0,189,167,356
Region III,Bulacan,Sta. Maria,305572,"Fortunato F. Halili National Agricultural School, Cay Pambo-Annex","Cay Pombo, Santa Maria, Bulacan",BULACAN,SANTA MARIA,4th District,CAY POMBO,Public,DepED Managed,School with no Annexes,Purely JHS,155,166,236,208,132,167,206,171,0,0,0,765,676,1441
Region III,Bulacan,Sta. Maria,305573,San Gabriel national High School,"Bypass Road, San Gabriel, Santa Maria, Bulacan",BULACAN,SANTA MARIA,4th District,SAN GABRIEL,Public,DepED Managed,School with no Annexes,Purely JHS,152,142,144,137,125,145,132,131,0,0,0,575,533,1108
Region III,Bulacan,Sta. Maria,306725,F. F. Halili Natl Agrl School Annex,9001 L. Barcial Street,BULACAN,SANTA MARIA,4th District,GUYONG,Public,DepED Managed,Annex or Extension school(s),Purely JHS,60,60,38,41,26,47,43,42,0,0,0,199,158,357
Region III,Bulacan,Dona Remedios Trinidad,305831,Kalayakan High School,"Sitio Kalayakan, Barangay Kalawakan",BULACAN,DOÑA REMEDIOS TRINIDAD,3rd District,KALAWAKAN,Public,DepED Managed,School with no Annexes,Purely JHS,44,23,29,24,32,22,27,32,0,0,0,120,113,233
Region III,Bulacan,Dona Remedios Trinidad,418623,St. Bernadette Parochial Mission School,"Poblacion, Dona Remedios Trinidad, Bulacan",BULACAN,DOÑA REMEDIOS TRINIDAD,3rd District,PULONG SAMPALOK,Private,Non-Sectarian ,School with no Annexes,Purely JHS,7,11,15,5,6,12,10,5,0,0,0,38,33,71
Region III,Nueva Ecija,Bongabon,300790,Bongabon National High School,Sinipit,NUEVA ECIJA,BONGABON,3rd District,SINIPIT (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,390,420,447,462,393,476,433,542,0,0,0,1719,1844,3563
Region III,Nueva Ecija,Bongabon,305810,Santor National High School,"Santor, Bongabon, Nueva Ecija",NUEVA ECIJA,BONGABON,3rd District,SANTOR,Public,DepED Managed,School with no Annexes,Purely JHS,22,34,32,29,18,20,19,18,0,0,0,117,75,192
Region III,Nueva Ecija,Cabiao,300792,Cabiao National High School,Natividad,NUEVA ECIJA,CABIAO,4th District,NATIVIDAD NORTH (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,438,536,493,545,402,509,488,600,5,1,6,2017,2000,4017
Region III,Nueva Ecija,Cuyapo,305813,Bued-Luna High School,"Bued, Cuyapo, Nueva Ecija",NUEVA ECIJA,CUYAPO,1st District,BUED,Public,DepED Managed,School with no Annexes,Purely JHS,8,15,11,11,8,11,9,5,0,0,0,45,33,78
Region III,Nueva Ecija,Cuyapo,305948,Simimbaan High School,"Simimbaan, Cuyapo, Nueva Ecija",NUEVA ECIJA,CUYAPO,1st District,SINIMBAAN,Public,DepED Managed,School with no Annexes,Purely JHS,5,7,12,9,6,7,8,8,0,0,0,33,29,62
Region III,Nueva Ecija,Laur,306253,San Isidro National High School,"Brgy. San Isidro, Laur, Nueva Ecija",NUEVA ECIJA,LAUR,3rd District,SAN ISIDRO,Public,DepED Managed,School with no Annexes,Purely JHS,28,35,0,0,26,19,0,0,0,0,0,63,45,108
Region III,Nueva Ecija,Palayan City,600023,Nueva Ecija  University  of Science and Technology,Purok 3,NUEVA ECIJA,PALAYAN CITY (Capital),3rd District,BO. MILITAR (FORT MAGSAYSAY),SUCsLUCs,SUC Managed,Mother school,Purely JHS,21,21,12,15,28,25,16,26,0,0,0,69,95,164
Region III,Nueva Ecija,San Antonio,401039,San Antonio High School,Lamson Street,NUEVA ECIJA,SAN ANTONIO,4th District,POBLACION,Private,Sectarian ,School with no Annexes,Purely JHS,3,3,2,2,3,2,1,3,0,0,0,10,9,19
Region III,Nueva Ecija,San Isidro,600135,Nueva Ecija University Science and Technology-San Isidro,Poblacion,NUEVA ECIJA,SAN ISIDRO,4th District,POBLACION,SUCsLUCs,SUC Managed,Mother school,Purely JHS,23,16,19,20,21,30,19,16,0,0,0,78,86,164
Region III,Nueva Ecija,Sta. Rosa,300826,Nueva Ecija High School,-Burgos Avenue,NUEVA ECIJA,CABANATUAN CITY,3rd District,SANGITAN,Public,DepED Managed,School with no Annexes,Purely JHS,339,352,357,463,365,363,421,500,3,0,3,1514,1649,3163
Region III,Nueva Ecija,Talavera North,300864,Talavera National High School,ROXAS STREET,NUEVA ECIJA,TALAVERA,1st District,PAG-ASA (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,390,464,426,553,374,487,484,621,0,0,0,1833,1966,3799
Region III,Nueva Ecija,Talavera North,306187,Engr. Porfirio V. Reyes High School,"Brgy. Burnay, Talavera, Nueva Ecija, 3114",NUEVA ECIJA,TALAVERA,1st District,BURNAY,Public,DepED Managed,School with no Annexes,Purely JHS,18,50,33,0,18,36,24,0,0,0,0,101,78,179
Region III,Pampanga,Apalit,305739,Sto. Rosario National High School,"Tabuyuc, Apalit, Pampanga",PAMPANGA,APALIT,4th District,TABUYUC (SANTO ROSARIO),Public,DepED Managed,School with no Annexes,Purely JHS,65,94,62,75,54,69,59,56,0,0,0,296,238,534
Region III,Pampanga,Apalit,306903,Bro. Andrew Gonzalez Tech.HS,"-san juan , apalit",PAMPANGA,APALIT,4th District,SAN JUAN (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,187,206,166,181,187,190,197,197,0,0,0,740,771,1511
Region III,Pampanga,Apalit,306954,Calantipe High School,Purok 2,PAMPANGA,APALIT,4th District,CALANTIPE,Public,DepED Managed,School with no Annexes,Purely JHS,36,31,33,39,27,24,25,29,0,0,0,139,105,244
Region III,Pampanga,Arayat East,306907,Candating NHS,Centro Candating,PAMPANGA,ARAYAT,3rd District,CANDATING,Public,DepED Managed,School with no Annexes,Purely JHS,30,48,47,53,29,33,43,37,0,0,0,178,142,320
Region III,Pampanga,Candaba East,306288,Vizal San Pablo National High School,"Vizal San Pablo, Candaba, Pampanga",PAMPANGA,CANDABA,4th District,VIZAL SAN PABLO,Public,DepED Managed,School with no Annexes,Purely JHS,10,0,0,0,8,0,0,0,0,0,0,10,8,18
